Month,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2025-01,BYX Equities (Y),695732960,495181633,1094469023,2285383616,28857549155.3899,21208000985.672997,35612907923.53659,85678458064.59949,9472109,2920102,9978382,22370593
2025-01,BZX Equities (Z),3303179565,2578456393,4888131830,10769767788,178196613269.1341,154645676910.99042,261332204254.08435,594174494434.2087,48324117,14022227,50984363,113330707
2025-01,EDGA Equities (J),465101128,434541948,911130880,1810773956,18476000769.8269,26370753350.863003,28134984689.1492,72981738809.8391,5311387,2166897,6643720,14122004
2025-01,EDGX Equities (K),3270998276,3054990500,11548816162,17874804938,132136159867.15329,132829074091.23645,380305141311.4364,645270375269.8259,27792719,15351160,63154735,106298614
2025-01,FINRA / NYSE TRF (DN),1746812745,1332489186,4864074025,7943375956,71252570191.64859,65727210547.81332,133611130752.6847,270590911492.14667,12255347,3925311,15251180,31431838
2025-01,FINRA / Nasdaq TRF Carteret (DQ),42121739900,24328527511,84028515718,150478783129,2005534585990.4185,1146841019324.8088,2935628852682.9854,6088004457998.213,310129970,78957454,362003134,751090558
2025-01,FINRA / Nasdaq TRF Chicago (DB),169250441,80397949,373584501,623232891,8695377666.4248,4025455318.9422,25426775309.9616,38147608295.328606,1513063,454303,2971944,4939310
2025-01,Investors Exchange (V),3416331484,1137058138,3229273637,7782663259,196956042000.27243,63471843329.08,184112878582.68793,444540763912.04034,42021624,6097196,36965730,85084550
2025-01,LTSE (L),305453998,38533381,284027382,628014761,8568060688.336399,4140824471.1981,11264403700.676403,23973288860.210903,856690,97931,772437,1727058
2025-01,MIAX Pearl (H),761916487,1094459322,2040903901,3897279710,20105181471.750397,39056211155.6784,41433771017.631,100595163645.0598,5805404,3601057,8809421,18215882
2025-01,Members Exchange (U),1036155122,1266514817,4636492138,6939162077,45489314536.30601,55067607838.58361,99774462449.352,200331384824.2416,11527292,5437393,18641633,35606318
