Date,STYETH
2025-10-06T15:00:00,2.858
2025-10-05T15:00:00,2.8588
2025-10-04T15:00:00,2.8587
2025-10-03T15:00:00,2.8835
2025-10-02T15:00:00,2.903
2025-10-01T15:00:00,2.8901
2025-09-30T15:00:00,2.9056
2025-09-29T15:00:00,2.874
2025-09-28T15:00:00,2.8489
2025-09-27T15:00:00,2.8754
2025-09-26T15:00:00,2.9052
2025-09-25T15:00:00,2.9008
2025-09-24T15:00:00,2.8834
2025-09-23T15:00:00,2.8829
2025-09-22T15:00:00,2.8692
2025-09-21T15:00:00,2.8437
2025-09-20T15:00:00,2.8556
2025-09-19T15:00:00,2.8836
2025-09-18T15:00:00,2.9078
2025-09-17T15:00:00,2.8782
2025-09-16T15:00:00,2.8902
2025-09-15T15:00:00,2.8775
2025-09-14T15:00:00,2.8526
2025-09-13T15:00:00,2.8739
2025-09-12T15:00:00,2.8769
2025-09-11T15:00:00,2.8666
2025-09-10T15:00:00,2.8492
2025-09-09T15:00:00,2.8878
2025-09-08T15:00:00,2.8738
2025-09-07T15:00:00,2.8461
2025-09-06T15:00:00,2.8559
2025-09-05T15:00:00,2.9023
2025-09-04T15:00:00,2.8998
2025-09-03T15:00:00,2.8949
2025-09-02T15:00:00,2.9182
2025-09-01T15:00:00,2.8989
2025-08-31T15:00:00,2.8627
2025-08-30T15:00:00,2.8681
2025-08-29T15:00:00,2.9106
2025-08-28T15:00:00,2.9197
2025-08-27T15:00:00,2.9155
2025-08-26T15:00:00,2.9185
2025-08-25T15:00:00,2.9213
2025-08-24T15:00:00,2.87
2025-08-23T15:00:00,2.9268
2025-08-22T15:00:00,2.9133
2025-08-21T15:00:00,2.9235
2025-08-20T15:00:00,2.9252
2025-08-19T15:00:00,2.937
2025-08-18T15:00:00,2.927
2025-08-17T15:00:00,2.874
2025-08-16T15:00:00,2.9027
2025-08-15T15:00:00,2.9283
2025-08-14T15:00:00,3.0136
2025-08-13T15:00:00,3.0298
2025-08-12T15:00:00,2.9509
2025-08-11T15:00:00,2.9419
2025-08-10T15:00:00,2.9215
2025-08-09T15:00:00,2.9443
2025-08-08T15:00:00,2.9305
2025-08-07T15:00:00,2.9316
2025-08-06T15:00:00,2.9322
2025-08-05T15:00:00,2.9257
2025-08-04T15:00:00,2.8894
2025-08-03T15:00:00,2.8837
2025-08-02T15:00:00,2.9001
2025-08-01T15:00:00,2.9318
2025-07-31T15:00:00,2.9473
2025-07-30T15:00:00,2.9644
2025-07-29T15:00:00,2.9472
2025-07-28T15:00:00,2.9216
2025-07-27T15:00:00,2.8843
2025-07-26T15:00:00,2.8827
2025-07-25T15:00:00,2.964
2025-07-24T15:00:00,2.987
2025-07-23T15:00:00,2.9733
2025-07-22T15:00:00,2.9992
2025-07-21T15:00:00,3.0225
2025-07-20T15:00:00,2.9557
2025-07-19T15:00:00,2.9264
2025-07-18T15:00:00,3.0943
2025-07-17T15:00:00,3.0963
2025-07-16T15:00:00,3.0562
2025-07-15T15:00:00,3.0225
2025-07-14T15:00:00,3.0475
2025-07-13T15:00:00,2.9132
2025-07-12T15:00:00,2.9656
2025-07-11T15:00:00,3.096
2025-07-10T15:00:00,3.0168
2025-07-09T15:00:00,2.9894
2025-07-08T15:00:00,2.9931
2025-07-07T15:00:00,2.9731
2025-07-06T15:00:00,2.9292
2025-07-05T15:00:00,2.909
2025-07-04T15:00:00,2.9438
2025-07-03T15:00:00,2.9975
2025-07-02T15:00:00,2.9836
2025-07-01T15:00:00,3.0179
2025-06-30T15:00:00,2.9644
2025-06-29T15:00:00,2.9114
2025-06-28T15:00:00,2.9117
2025-06-27T15:00:00,3.0325
2025-06-26T15:00:00,3.0201
2025-06-25T15:00:00,3.0345
2025-06-24T15:00:00,3.1397
2025-06-23T15:00:00,3.0728
2025-06-22T15:00:00,2.9868
2025-06-21T15:00:00,2.9195
2025-06-20T15:00:00,2.994
2025-06-19T15:00:00,3.0316
2025-06-18T15:00:00,2.9845
2025-06-17T15:00:00,3.0033
2025-06-16T15:00:00,2.9565
2025-06-15T15:00:00,2.9206
2025-06-14T15:00:00,2.9539
2025-06-13T15:00:00,3.0806
2025-06-12T15:00:00,3.1125
2025-06-11T15:00:00,3.1345
2025-06-10T15:00:00,3.0539
2025-06-09T15:00:00,2.9756
2025-06-08T15:00:00,2.9625
2025-06-07T15:00:00,3.0045
2025-06-06T15:00:00,3.034
2025-06-05T15:00:00,3.05
2025-06-04T15:00:00,3.045
2025-06-03T15:00:00,3.065
2025-06-02T15:00:00,3.0444
2025-06-01T15:00:00,2.9862
2025-05-31T15:00:00,3.026
2025-05-30T15:00:00,3.1343
2025-05-29T15:00:00,3.0996
2025-05-28T15:00:00,3.1096
2025-05-27T15:00:00,3.0645
2025-05-26T15:00:00,3.0129
2025-05-25T15:00:00,2.994
2025-05-24T15:00:00,2.993
2025-05-23T15:00:00,3.1253
2025-05-22T15:00:00,3.139
2025-05-21T15:00:00,3.0329
2025-05-20T15:00:00,3.0452
2025-05-19T15:00:00,3.0447
2025-05-18T15:00:00,2.9504
2025-05-17T15:00:00,3.0327
2025-05-16T15:00:00,3.0687
2025-05-15T15:00:00,3.0554
2025-05-14T15:00:00,3.1312
2025-05-13T15:00:00,3.1195
2025-05-12T15:00:00,3.1853
2025-05-11T15:00:00,3.1938
2025-05-10T15:00:00,3.1241
2025-05-09T15:00:00,3.1617
2025-05-08T15:00:00,2.9872
2025-05-07T15:00:00,2.9538
2025-05-06T15:00:00,2.968
2025-05-05T15:00:00,2.9695
2025-05-04T15:00:00,2.9404
2025-05-03T15:00:00,2.9602
